,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,left,promotion_last_5years,annual_project
count,14999.0,14999.0,14999.0,14999.0,14999.0,14999.0,14999.0,14999.0,14999.0
mean,0.6128335222348166,0.7161017401159978,3.80305353690246,201.0503366891126,3.498233215547703,0.1446096406427095,0.2380825388359224,0.021268084538969265,1.2123341556103358
std,0.2486306510611418,0.17116911062327592,1.2325923553183857,49.943099371284305,1.4601362305354546,0.3517185523801279,0.425924099380363,0.1442814645785774,0.513919384565314
min,0.09,0.36,2.0,96.0,2.0,0.0,0.0,0.0,0.2
20%,0.4,0.54,3.0,150.0,2.0,0.0,0.0,0.0,0.67
50%,0.64,0.72,4.0,200.0,3.0,0.0,0.0,0.0,1.0
75%,0.82,0.87,5.0,245.0,4.0,0.0,0.0,0.0,1.5
80%,0.8500000000000001,0.8899999999999999,5.0,253.0,4.0,0.0,1.0,0.0,1.5
max,1.0,1.0,7.0,310.0,10.0,1.0,1.0,1.0,3.5
